date,xasset_abs_mom_252_top3,xasset_abs_mom_126_top2,xasset_carry_proxy_defensive,sector_mean_reversion_pairs,sector_market_neutral_trend,risk_off_inverse_equity,vol_regime_svxy_vixy,etf_short_term_reversal,credit_stress_rotation
2010-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015865405015301768
2010-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004036724941691716
2010-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015632532292415569
2010-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008920489034497381
2010-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005133588308457004
2010-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022435217132554808
2010-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011192497954091163
2010-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004025100305333651
2010-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004482610475842197
2010-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014580589129016275
2010-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01562070720602704
2010-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009474073775899816
2010-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014981098014970051
2010-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012666776222833853
2010-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003441938505155395
2010-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004250554689755881
2010-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00507654660039647
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004826733191986232
2010-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003022706542689102
2010-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005102311477362953
2010-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014189839195762999
2010-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005851171771360186
2010-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004355531295404558
2010-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020091484325444053
2010-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013450612029323739
2010-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004065842724504165
2010-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005951912243759017
2010-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009893336669775543
2010-02-17,0.0,0.0,0.0,-0.007176869251304087,0.0,0.0,0.0,0.0,0.007671168188114752
2010-02-18,0.0,0.0,0.0,-0.0011564597865190557,0.0,0.0,0.0,0.0,0.009486956017292547
2010-02-19,0.0,0.0,0.0,0.0050828058961559,0.0,0.0,0.0,0.0,0.006729052512160161
2010-02-22,0.0,0.0,0.0,-0.0028591363376850184,0.0,0.0,0.0,0.0,0.0012682048216134945
2010-02-23,0.0,0.0,0.0,-0.0010968237779808438,0.0,0.0,0.0,0.0,-0.0072511733022051494
2010-02-24,0.0,0.0,0.0,-0.00345302370836335,0.0,0.0,0.0,0.0,0.003825639312854845
2010-02-25,0.0,0.0,0.0,-0.00047456456002839705,0.0,0.0,0.0,0.0,0.0001153102450131005
2010-02-26,0.0,0.0,0.0,-0.0019951267525053803,0.0,0.0,0.0,0.0,0.006698976678001678
2010-03-01,0.0,0.0,0.0,-0.0013634800407184666,0.0,0.0,0.0,0.0,0.000762011804567031
2010-03-02,0.0,0.0,0.0,0.00359278036252925,0.0,0.0,0.0,0.0,0.006467224109103942
2010-03-03,0.0,0.0,0.0,-0.0023931230517519543,0.0,0.0,0.0,0.0,0.0010332998541235927
2010-03-04,0.0,0.0,0.0,-0.002434086439294392,0.0,0.0,0.0,0.0,0.0008025172375232259
2010-03-05,0.0,0.0,0.0,-0.0022277326235072763,0.0,0.0,0.0,0.0,0.005955595567821215
2010-03-08,0.0,0.0,0.0,-0.0016276479969148676,0.0,0.0,0.0,0.0,0.00022751565826961695
