symbol,current_market_cap,market_cap_bucket
FITB,42913849344.0,mid_cap
FIX,70149275648.0,large_cap
FOX,24316180480.0,mid_cap
FOXA,27249080320.0,mid_cap
FRT,9835686912.0,low_cap
FSLR,25076389888.0,mid_cap
FTNT,89954566144.0,large_cap
FTV,17901438976.0,mid_cap
GD,90458890240.0,large_cap
GDDY,11543490560.0,mid_cap
GE,294150897664.0,large_cap
GEHC,27639224320.0,mid_cap
GEN,14202815488.0,mid_cap
GEV,281949077504.0,large_cap
GILD,160882638848.0,large_cap
GIS,17606144000.0,mid_cap
GL,12038042624.0,mid_cap
GLW,165078941696.0,large_cap
GM,67498659840.0,large_cap
GNRC,15522493440.0,mid_cap
GOOG,4765246291968.0,large_cap
GOOGL,4807165739008.0,large_cap
GPC,12920270848.0,mid_cap
GPN,18486071296.0,mid_cap
GRMN,43537289216.0,mid_cap
GS,279805689856.0,large_cap
GWW,60077277184.0,large_cap
HAL,34886209536.0,mid_cap
HAS,13476987904.0,mid_cap
HBAN,31238082560.0,mid_cap
HCA,93838237696.0,large_cap
HD,296328200192.0,large_cap
HIG,36711600128.0,mid_cap
HII,12852412416.0,mid_cap
HLT,71975583744.0,large_cap
HON,135120191488.0,large_cap
HOOD,69464965120.0,large_cap
HPE,43918868480.0,mid_cap
HPQ,19103256576.0,mid_cap
HRL,10862610432.0,mid_cap
HSIC,8284026880.0,low_cap
HST,14832721920.0,mid_cap
HSY,37927653376.0,mid_cap
HUBB,25362466816.0,mid_cap
HUM,36633165824.0,mid_cap
HWM,104167989248.0,large_cap
IBKR,147905069056.0,large_cap
IBM,206116847616.0,large_cap
ICE,87292510208.0,large_cap
IDXX,41712541696.0,mid_cap
IEX,15372187648.0,mid_cap
IFF,18662682624.0,mid_cap
INCY,19041236992.0,mid_cap
INTC,546677981184.0,large_cap
INTU,109361717248.0,large_cap
INVH,16591592448.0,mid_cap
IP,16023183360.0,mid_cap
IQV,28226127872.0,mid_cap
IR,27530545152.0,mid_cap
IRM,37211410432.0,mid_cap
ISRG,149145059328.0,large_cap
IT,9790373888.0,low_cap
ITW,71257530368.0,large_cap
IVZ,12022205440.0,mid_cap
J,13049118720.0,mid_cap
JBHT,24726192128.0,mid_cap
JBL,35851902976.0,mid_cap
JCI,87295336448.0,large_cap
JKHY,9724720128.0,low_cap
JNJ,545740161024.0,large_cap
JPM,797985275904.0,large_cap
KDP,39360987136.0,mid_cap
KEY,22812108800.0,mid_cap
KEYS,59856089088.0,large_cap
KHC,27178024960.0,mid_cap
KIM,15510964224.0,mid_cap
KKR,90418855936.0,large_cap
KLAC,235693834240.0,large_cap
KMB,31836399616.0,mid_cap
KMI,74820894720.0,large_cap
KO,347726643200.0,large_cap
KR,40705335296.0,mid_cap
KVUE,32851349504.0,mid_cap
L,21770348544.0,mid_cap
LDOS,15558404096.0,mid_cap
LEN,20270350336.0,mid_cap
LH,20532799488.0,mid_cap
LHX,56520024064.0,large_cap
LII,17399635968.0,mid_cap
LIN,233998581760.0,large_cap
LITE,75520458752.0,large_cap
LLY,896128712704.0,large_cap
LMT,118973136896.0,large_cap
LNT,18311802880.0,mid_cap
LOW,122328940544.0,large_cap
LRCX,356062593024.0,large_cap
LULU,13976446976.0,mid_cap
LUV,18817787904.0,mid_cap
LVS,33900525568.0,mid_cap
LYB,24228222976.0,mid_cap
LYV,39298207744.0,mid_cap
MA,436667154432.0,large_cap
MAA,15000551424.0,mid_cap
MAR,93126918144.0,large_cap
MAS,13140980736.0,mid_cap
MCD,196376723456.0,large_cap
MCHP,50785566720.0,large_cap
MCK,91423596544.0,large_cap
MCO,74918723584.0,large_cap
MDLZ,77583794176.0,large_cap
MDT,97767841792.0,large_cap
MET,51333386240.0,large_cap
META,1559175626752.0,large_cap
MGM,9458820096.0,low_cap
MKC,12460881920.0,mid_cap
MLM,33545240576.0,mid_cap
MMM,76263563264.0,large_cap
MNST,85174722560.0,large_cap
MO,122052337664.0,large_cap
MOS,6916343296.0,low_cap
MPC,74452598784.0,large_cap
MPWR,76152479744.0,large_cap
MRK,275089031168.0,large_cap
MRNA,19458398208.0,mid_cap
MRSH,77593001984.0,large_cap
MS,303643099136.0,large_cap
MSCI,40852541440.0,mid_cap
MSFT,3134205460480.0,large_cap
MSI,65282744320.0,large_cap
MTB,30006591488.0,mid_cap
MTD,20846968832.0,mid_cap
MU,817223696384.0,large_cap
NCLH,7125389824.0,low_cap
NDAQ,51498143744.0,large_cap
NDSN,15333795840.0,mid_cap
NEE,194687483904.0,large_cap
NEM,116427300864.0,large_cap
NFLX,366423670784.0,large_cap
NI,22198036480.0,mid_cap
NKE,62019551232.0,large_cap
NOC,76796076032.0,large_cap
NOW,98046451712.0,large_cap
NRG,26966179840.0,mid_cap
NSC,70960480256.0,large_cap
NTAP,23753377792.0,mid_cap
NTRS,30321844224.0,mid_cap
NUE,51701751808.0,large_cap
NVDA,5457368842240.0,large_cap
NVR,15017835520.0,mid_cap
NWS,16256301056.0,mid_cap
NWSA,14168235008.0,mid_cap
NXPI,73595314176.0,large_cap
O,56993943552.0,large_cap
ODFL,42242519040.0,mid_cap
OKE,58164629504.0,large_cap
OMC,20186990592.0,mid_cap
ON,43977531392.0,mid_cap
ORCL,554933092352.0,large_cap
ORLY,73332998144.0,large_cap
OTIS,27247679488.0,mid_cap
OXY,59300118528.0,large_cap
PANW,196935139328.0,large_cap
PAYX,32797947904.0,mid_cap
PCAR,58059898880.0,large_cap
PCG,35521880064.0,mid_cap
PEG,38091689984.0,mid_cap
PEP,203838226432.0,large_cap
PFE,144366927872.0,large_cap
PFG,21715724288.0,mid_cap
PG,329659777024.0,large_cap
PGR,116709515264.0,large_cap
PH,108777250816.0,large_cap
PHM,20974452736.0,mid_cap
PKG,18896041984.0,mid_cap
PLD,131021455360.0,large_cap
PLTR,321215856640.0,large_cap
PM,295518339072.0,large_cap
PNC,85469020160.0,large_cap
PNR,11745489920.0,mid_cap
PNW,11924817920.0,mid_cap
PODD,10213769216.0,mid_cap
POOL,6390281216.0,low_cap
PPG,22878455808.0,mid_cap
PPL,26241980416.0,mid_cap
PRU,35402850304.0,mid_cap
PSA,51341864960.0,large_cap
PSKY,11068622848.0,mid_cap
PSX,70644744192.0,large_cap
PTC,16391427072.0,mid_cap
PWR,115544809472.0,large_cap
PYPL,39174303744.0,mid_cap
Q,32914401280.0,mid_cap
QCOM,212370472960.0,large_cap
RCL,69808472064.0,large_cap
REG,14218273792.0,mid_cap
REGN,73203851264.0,large_cap
RF,22751098880.0,mid_cap
RJF,30033426432.0,mid_cap
RL,19817973760.0,mid_cap
RMD,29283983360.0,mid_cap
ROK,49933070336.0,mid_cap
ROL,25719787520.0,mid_cap
ROP,32384380928.0,mid_cap
ROST,68812906496.0,large_cap
RSG,64092585984.0,large_cap
RTX,230525255680.0,large_cap
RVTY,10483272704.0,mid_cap
SATS,39771107328.0,mid_cap
SBAC,21172297728.0,mid_cap
SBUX,121737052160.0,large_cap
SCHW,158052630528.0,large_cap
SHW,74015350784.0,large_cap
SJM,10722421760.0,mid_cap
SLB,82796298240.0,large_cap
SMCI,18668029952.0,mid_cap
SNA,18630559744.0,mid_cap
SNDK,208452632576.0,large_cap
SNPS,96244596736.0,large_cap
SO,104331722752.0,large_cap
SOLV,12859955200.0,mid_cap
SPG,76003524608.0,large_cap
SPGI,119332397056.0,large_cap
SRE,59113189376.0,large_cap
STE,20817960960.0,mid_cap
STLD,33073760256.0,mid_cap
STT,42303844352.0,mid_cap
STX,178367430656.0,large_cap
STZ,24516184064.0,mid_cap
SW,19656912896.0,mid_cap
SWK,11680930816.0,mid_cap
SWKS,10307320832.0,mid_cap
SYF,24010106880.0,mid_cap
SYK,117599756288.0,large_cap
SYY,34701709312.0,mid_cap
T,166968590336.0,large_cap
TAP,7659597824.0,low_cap
TDG,64266006528.0,large_cap
TDY,28565618688.0,mid_cap
TECH,6779426816.0,low_cap
TEL,59870748672.0,large_cap
TER,52892467200.0,large_cap
TFC,58506477568.0,large_cap
TGT,55200583680.0,large_cap
TJX,163030188032.0,large_cap
TKO,14249106432.0,mid_cap
TMO,162896560128.0,large_cap
TMUS,200445952000.0,large_cap
TPL,26566883328.0,mid_cap
TPR,26128424960.0,mid_cap
TRGP,58380992512.0,large_cap
TRMB,12851438592.0,mid_cap
TROW,21857337344.0,mid_cap
TRV,63742373888.0,large_cap
TSCO,16032423936.0,mid_cap
TSLA,1585816797184.0,large_cap
TSN,23166595072.0,mid_cap
TT,103144480768.0,large_cap
TTD,9942791168.0,low_cap
TTWO,44893937664.0,mid_cap
TXN,275512393728.0,large_cap
TXT,15436124160.0,mid_cap
TYL,12831328256.0,mid_cap
UAL,30136299520.0,mid_cap
UBER,152853118976.0,large_cap
UDR,13679436800.0,mid_cap
UHS,10208849920.0,mid_cap
ULTA,21618143232.0,mid_cap
UNH,357672681472.0,large_cap
UNP,160635043840.0,large_cap
UPS,84091117568.0,large_cap
URI,60212740096.0,large_cap
USB,82458165248.0,large_cap
V,619492999168.0,large_cap
VEEV,25925746688.0,mid_cap
VICI,30042165248.0,mid_cap
VLO,74452926464.0,large_cap
VLTO,20834185216.0,mid_cap
VMC,34752249856.0,mid_cap
VRSK,21297600512.0,mid_cap
VRSN,27078871040.0,mid_cap
VRT,142481326080.0,large_cap
VRTX,110900281344.0,large_cap
VST,47097643008.0,mid_cap
VTR,42515542016.0,mid_cap
VTRS,19191828480.0,mid_cap
VZ,193620656128.0,large_cap
WAB,44777848832.0,mid_cap
WAT,32324747264.0,mid_cap
WBD,67642548224.0,large_cap
WDAY,31213191168.0,mid_cap
WDC,166143688704.0,large_cap
WEC,35556212736.0,mid_cap
WELL,150882156544.0,large_cap
WFC,224679100416.0,large_cap
WM,88274386944.0,large_cap
WMB,95051423744.0,large_cap
WMT,1047786684416.0,large_cap
WRB,24737787904.0,mid_cap
WSM,19856123904.0,mid_cap
WST,21398450176.0,mid_cap
WTW,23458988032.0,mid_cap
WY,16353247232.0,mid_cap
WYNN,9903329280.0,low_cap
XEL,48643084288.0,mid_cap
XOM,654570029056.0,large_cap
XYL,25699420160.0,mid_cap
XYZ,41876934656.0,mid_cap
YUM,41334915072.0,mid_cap
ZBH,16192808960.0,mid_cap
ZBRA,12353720320.0,mid_cap
ZTS,31115112448.0,mid_cap
